the_geom,OBJECTID,LOC,Borough,Street_Nam,From_Stree,To_Street,Index,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD
POINT (-73.90459140730678 40.87919896648575),1,1,Bronx,Broadway,West 231st Street,Naples Terrace,N,1189.0,4094.0,2508.0,734.0,2646.0,2939.0,802.0,4015.0,2631.0,1125.0,4310.0,3420.0,1001,3475,2832,991.0,4262.0,2469.0,1010,3609,3128,863,4119,2217,997,4440,2687,1328,3820,2428,1288,3328,3365,1268,4315,2276,1210,4710,3825,1206,4590,3008,1220,4384,2641,1450,4646,2996,1788,4980,3033,1204,4520,2999,1246,4531,2686,1309,3642,2830,1916,5893,2776,1111,4044,2731,1271,4502,2899,1708,4464,2967,,,,486.0,2843.0,1754.0,630.0,3262.0,1710.0,808.0,2807.0,2230.0,737.0,2343.0,1883.0,745,2637,2241
POINT (-73.87892467324478 40.8812869959873),4,4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,764.0,2673.0,1798.0,1360.0,1975.0,872.0,2102.0,3206.0,1989.0,3020.0,3915.0,1662.0,1536,2997,1672,2097.0,3135.0,1591.0,2954,3962,1717,1622,3006,1344,1661,2844,1510,1996,2836,1587,1906,2066,1261,2371,3500,1620,2052,3981,1979,2373,3660,1914,2096,3378,1333,2382,3425,1339,1757,3561,1714,2256,2923,1574,2066,2944,1752,2017,2771,1459,2125,3130,1123,2453,3429,1551,1648,2892,1323,1944,2682,1693,,,,953.0,2063.0,1185.0,946.0,1211.0,1161.0,1503.0,1978.0,689.0,1350.0,2082.0,1063.0,1448,2120,1032
POINT (-73.88956389732787 40.844636776717685),5,5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,650.0,2538.0,2334.0,1078.0,2739.0,2343.0,553.0,2438.0,1652.0,756.0,3095.0,1374.0,684,2660,2604,912.0,3637.0,2339.0,1075,5823,4085,1012,5785,3758,1093,6119,4274,1049,5859,3934,627,1503,2371,959,3140,2273,1007,4175,2854,760,3488,2805,971,3586,2460,1019,3184,2366,1055,3710,2554,1063,3296,2466,993,3625,2492,1101,3336,2501,980,3700,2526,1082,3330,2479,1016,3781,2565,975,3761,2461,,,,357.0,1997.0,1719.0,444.0,2382.0,1384.0,714.0,2356.0,1502.0,669.0,1508.0,1606.0,774,2084,1611
POINT (-73.92087824799184 40.83015855511036),6,6,Bronx,Grand Concourse,East 164th Street,East 165th Street,Y,489.0,1235.0,835.0,873.0,1457.0,631.0,634.0,1554.0,856.0,771.0,1445.0,744.0,605,1271,539,599.0,1028.0,750.0,597,1426,669,634,1341,738,753,1394,891,802,1396,859,838,1372,1069,936,1743,1059,912,2059,1037,963,1726,973,858,2035,1042,972,1902,1097,839,2023,1059,999,1948,1161,767,1933,1010,982,1971,1165,740,1909,925,962,1872,1199,757,1933,956,1158,1986,686,694.0,1881.0,816.0,511.0,1459.0,689.0,500.0,878.0,586.0,919.0,1416.0,886.0,718.0,1121.0,806.0,684,1175,1146
POINT (-73.86767352599497 40.855588719719556),8,8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,1025.0,4039.0,3991.0,1743.0,4667.0,3309.0,1638.0,4798.0,4858.0,1056.0,3194.0,2489.0,990,3490,3335,1461.0,5090.0,2526.0,1375,4834,3095,1568,4386,2217,1545,4402,2985,1689,3016,2360,1626,3415,3828,1591,5398,3851,1410,4232,3007,1479,4910,4056,1495,5166,2540,1769,4114,2893,1512,4333,3122,1537,4379,3092,1638,5900,2582,1377,4098,2730,1186,4673,3420,2023,5520,3166,1601,5059,3391,1493,4011,2566,1305.0,5007.0,3326.0,728.0,3556.0,2238.0,763.0,4344.0,2204.0,1108.0,3983.0,2891.0,1263.0,4291.0,2491.0,1003,3493,2441
POINT (-74.01119296689038 40.64426682358741),9,9,Brooklyn,5th Avenue,51st Street,52nd Street,Y,856.0,5940.0,4354.0,900.0,5435.0,5081.0,886.0,7054.0,4806.0,1062.0,5072.0,5901.0,914,5730,4619,1364.0,5475.0,4740.0,982,5570,5371,946,5585,4577,1350,7743,6135,1445,8170,4999,1306,3662,4731,1419,4864,6325,1457,6509,6070,1658,6627,5690,1522,7718,6313,1721,7988,6391,1791,7802,6762,1655,7502,6082,1531,7296,6014,1642,8130,5763,1517,7384,5356,1563,4730,5563,1197,4909,4515,1210,4821,4401,652.0,1402.0,1125.0,,,,1677.0,9439.0,5579.0,1221.0,4455.0,4151.0,1167.0,4184.0,3781.0,948,3673,3978
POINT (-73.98067647018506 40.67609353714627),10,10,Brooklyn,5th Avenue,Union Street,President Street,Y,504.0,2207.0,2225.0,422.0,2167.0,1627.0,672.0,2707.0,966.0,487.0,1898.0,2321.0,469,2547,2259,774.0,2310.0,1690.0,582,2274,2808,661,3063,2141,631,2915,2852,591,2848,2307,666,1414,2620,723,3255,2468,688,2764,2554,794,2513,2591,800,3051,3080,955,2390,1962,900,2492,3081,922,2955,2681,941,2751,3131,951,2911,2248,812,2570,2298,905,2463,1679,743,2252,2286,736,2297,2196,849.0,6007.0,4865.0,539.0,1983.0,3144.0,536.0,2564.0,1429.0,713.0,2334.0,2118.0,646.0,2499.0,2503.0,592,2091,2416
POINT (-73.98134205800814 40.66717415129596),11,11,Brooklyn,7th Avenue,9th Street,8th Street,Y,2345.0,4089.0,2519.0,2167.0,3801.0,1917.0,3259.0,4733.0,2682.0,2646.0,3900.0,3110.0,2233,3986,2944,2718.0,4033.0,2212.0,2635,3881,3436,2888,5261,2611,2713,4018,3026,1944,3832,2311,2583,2641,3858,3050,4019,3058,2917,4540,3242,3241,4642,2709,3479,3914,3293,3009,3314,2215,2165,3920,2742,3553,4217,2050,3134,4792,2925,1838,4557,2520,3108,4288,3721,3494,4122,2450,3112,4227,2968,3567,3764,1605,2117.0,4767.0,2966.0,1128.0,2731.0,2452.0,1646.0,3313.0,1747.0,2606.0,3506.0,1935.0,2629.0,4522.0,1986.0,2959,3343,2065
POINT (-74.02728680504437 40.622138829200395),12,12,Brooklyn,86th Street,4th Avenue,5th Avenue,Y,983.0,4193.0,3886.0,1073.0,5202.0,3402.0,1119.0,5128.0,4606.0,1092.0,4946.0,4323.0,1049,4674,4406,1038.0,4032.0,2629.0,1012,4519,4063,1039,4462,3549,1211,5288,4464,1236,6226,4179,1118,3466,6416,1533,5237,4778,1406,5814,5289,1452,5233,5124,1534,5281,4049,1177,5615,3740,1473,6828,5036,1678,5514,4362,1456,4475,5356,1561,6338,5412,1611,6632,4163,1441,5004,3638,1507,5359,3652,1468,5708,3513,1149.0,5605.0,4176.0,741.0,3702.0,3152.0,720.0,3523.0,1547.0,1108.0,3376.0,2391.0,1084.0,3788.0,2375.0,1157,3869,2970
POINT (-73.98983165443038 40.68884781602201),13,13,Brooklyn,Atlantic Avenue,Boerum Place,Smith Street,N,357.0,889.0,836.0,356.0,1063.0,831.0,473.0,1335.0,742.0,411.0,1147.0,984.0,363,1216,865,228.0,902.0,766.0,387,1701,1189,399,1385,967,366,1273,1284,376,1175,1366,397,756,1374,499,1182,1469,442,1637,1402,506,1561,1309,440,1605,1816,518,1497,1340,462,1528,1272,498,1807,962,583,1916,1914,561,1706,1385,553,2253,2134,603,2018,1935,581,2219,2137,598,2133,1466,,,,395.0,1516.0,2084.0,456.0,1626.0,1093.0,544.0,1888.0,1600.0,437.0,1823.0,1640.0,475,1734,2134
