County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
New York,756075,Store,JAC,BERISTAINS MEXICAN DELI LLC,BERISTAINS MEXICAN DELI,4672,BROADWAY,,,NEW YORK,NY,10040,0,POINT (-73.93003 40.86315)
New York,756032,Store,JAC,ITO INC,TIKKA,66,BROADWAY,,,NEW YORK,NY,10005,0,POINT (-74.01228 40.70706)
Kings,756004,Store,A,RIGHT DRUGS INC,KINGS RX PHARMACY,1214,KINGS HIGHWAY,,,BROOKLYN,NY,11229,0,POINT (-73.96048 40.60786)
Schenectady,755939,Store,JAC,BROADWAY MOBIL LLC,BROADWAY MOBIL,591,BROADWAY,,,SCHENECTADY,NY,12305,1500,POINT (-73.94717 42.80566)
Kings,755920,Store,JAC,BANGLA BAZAR GROCERY INC,BANGLA BAZAR GROCERY,509,CORTELYOU ROAD,,,BROOKLYN,NY,11218,0,POINT (-73.9742 40.6384)
Nassau,755870,Store,A,RZW CONVENIENCE CORP,TRACK SIDE SMOKE SHOP,57,JACKSON AVENUE,,,SYOSSET,NY,11791,640,POINT (-73.50226 40.82456)
Kings,755841,Store,A,1490 CONVENIENCE STORE CORP,1490 CONVENIENCE STORE,1490,FULTON STREET,,,BROOKLYN,NY,11216,1000,POINT (-73.94138 40.67995)
Kings,755840,Store,JAC,MULGOGI CORP,MULGOGI,1420,FULTON STREET,,,BROOKLYN,NY,11216,0,POINT (-73.94418 40.68009)
Westchester,755830,Store,JAC,VEGAN LIFE FOR THE SOUL LLC,VEGAN LIFE FOR THE SOUL,127,MAIN STREET,,,OSSINING,NY,10562,0,POINT (-73.86407 41.16077)
New York,755817,Store,JAC,QUALITY FOOD MARKET CORP,QUALITY FOOD MARKET,4453,BROADWAY,,,NEW YORK,NY,10040,0,POINT (-73.93246 40.85703)
New York,755762,Store,JAC,ZS CONVENIENCE STORE CORP,Z'S CONVENIENCE STORE,3580,BROADWAY,,,NEW YORK,NY,10031,0,POINT (-73.94926 40.82789)
Kings,755758,Store,JAC,H&M MARKET INC,H&M MARKET,561,GRAND STREET,,,BROOKLYN,NY,11211,0,POINT (-73.94912 40.71114)
Bronx,755665,Store,JAC,RANCH MINI MARKET & DELI INC,RANCH MINI MARKET & DEL,2739,WHITE PLAINS ROAD,,,BRONX,NY,10467,1000,POINT (-73.86728 40.86643)
New York,755645,Store,JAC,SUPER TASTY DELI INC,SUPER TASTY DELI,3522,BROADWAY,,,NEW YORK,NY,10031,0,POINT (-73.95073 40.82587)
Kings,755604,Store,JAC,NEW HOME TRADING INC,LATINO'S FAMILY MARKET,1949-51,86TH STREET,,,BROOKLYN,NY,11214,0,POINT (-73.99926 40.60521)
New York,755596,Store,A,SANAA CONVENIENT STORE CORP,SANAA CONVENIENT STORE,3422,BROADWAY,,,NEW YORK,NY,10031,1600,POINT (-73.95299 40.82279)
Orange,755561,Store,A,MUNCHEEZ DELI & GROCERY INC.,MUNCHEEZ DELI & GROCERY,220,BROADWAY,,,NEWBURGH,NY,12550,1000,POINT (-74.01724 41.50043)
Kings,755475,Store,JAC,NEW EVELINA GROCERY INC,NEW EVELINA GROCERY,1339,FLATBUSH AVENUE,,,BROOKLYN,NY,11226,0,POINT (-73.95366 40.63849)
